theta_accept,theta_reject,gamma,utility,mean_mcc,mean_accuracy,mean_nodes,mean_depth,mean_cr,stump_count,mean_train_ms
0.4,0.05,0.0,0.558425953825916,0.6000020519558303,0.7837456140350876,4.8,2.8,0.19703754213731373,0,17791.072976589203
0.35,0.07,0.0,0.4881956630020239,0.5355908300701846,0.7420789473684211,4.1,2.55,0.16302416465919625,0,16566.55205488205
0.3,0.07,0.0,0.4881956630020239,0.5355908300701846,0.7420789473684211,4.1,2.55,0.16302416465919625,0,15355.42824268341
0.4,0.07,0.0,0.4881956630020239,0.5355908300701846,0.7420789473684211,4.1,2.55,0.16302416465919625,0,16828.680193424225
0.2,0.07,0.0,0.4881956630020239,0.5355908300701846,0.7420789473684211,4.1,2.55,0.16302416465919625,0,16627.94452905655
0.15,0.07,0.0,0.4881956630020239,0.5355908300701846,0.7420789473684211,4.1,2.55,0.16302416465919625,0,17383.113050460815
0.25,0.07,0.0,0.4881956630020239,0.5355908300701846,0.7420789473684211,4.1,2.55,0.16302416465919625,0,16456.535530090332
0.25,0.1,0.0,0.40376350673621203,0.45710603975468767,0.71025,3.4,2.2,0.13328733490762176,0,13725.50323009491
0.2,0.1,0.0,0.40376350673621203,0.45710603975468767,0.71025,3.4,2.2,0.13328733490762176,0,14696.86758518219
0.15,0.1,0.0,0.40376350673621203,0.45710603975468767,0.71025,3.4,2.2,0.13328733490762176,0,15388.975739479065
0.4,0.1,0.0,0.40376350673621203,0.45710603975468767,0.71025,3.4,2.2,0.13328733490762176,0,14339.058291912079
0.35,0.1,0.0,0.40376350673621203,0.45710603975468767,0.71025,3.4,2.2,0.13328733490762176,0,15058.979558944702
0.3,0.1,0.0,0.40376350673621203,0.45710603975468767,0.71025,3.4,2.2,0.13328733490762176,0,13553.502452373505
0.3,0.12,0.0,0.3829387378600798,0.4379206151408505,0.7019166666666667,3.3,2.15,0.12509061359614637,0,14053.753197193146
0.2,0.12,0.0,0.3829387378600798,0.4379206151408505,0.7019166666666667,3.3,2.15,0.12509061359614637,0,14201.602280139923
0.15,0.12,0.0,0.3829387378600798,0.4379206151408505,0.7019166666666667,3.3,2.15,0.12509061359614637,0,14779.257571697235
0.25,0.12,0.0,0.3829387378600798,0.4379206151408505,0.7019166666666667,3.3,2.15,0.12509061359614637,0,13434.68816280365
0.4,0.12,0.0,0.3829387378600798,0.4379206151408505,0.7019166666666667,3.3,2.15,0.12509061359614637,0,13470.49320936203
0.35,0.12,0.0,0.3829387378600798,0.4379206151408505,0.7019166666666667,3.3,2.15,0.12509061359614637,0,14023.137950897217
0.2,0.03,0.1,0.18072498671974874,0.485727167824004,0.7200906432748538,4.3,2.5,0.17908745513446106,1,17930.4953455925
0.35,0.03,0.1,0.18072498671974874,0.485727167824004,0.7200906432748538,4.3,2.5,0.17908745513446106,1,17203.101408481598
0.25,0.03,0.1,0.18072498671974874,0.485727167824004,0.7200906432748538,4.3,2.5,0.17908745513446106,1,17061.500883102417
0.4,0.03,0.1,0.18072498671974874,0.485727167824004,0.7200906432748538,4.3,2.5,0.17908745513446106,1,16716.781294345856
0.3,0.03,0.1,0.18072498671974874,0.485727167824004,0.7200906432748538,4.3,2.5,0.17908745513446106,1,16635.303139686584
0.15,0.03,0.1,0.18072498671974874,0.485727167824004,0.7200906432748538,4.3,2.5,0.17908745513446106,1,16560.07480621338
0.4,0.01,0.15,0.18023036854085514,0.485727167824004,0.7200906432748538,5.8,3.1,0.19300780686294383,1,17541.926622390747
0.3,0.01,0.15,0.18023036854085514,0.485727167824004,0.7200906432748538,5.8,3.1,0.19300780686294383,1,18047.89892435074
0.35,0.01,0.15,0.18023036854085514,0.485727167824004,0.7200906432748538,5.8,3.1,0.19300780686294383,1,19527.737021446228
0.25,0.01,0.15,0.18023036854085514,0.485727167824004,0.7200906432748538,5.8,3.1,0.19300780686294383,1,18861.817014217377
0.2,0.01,0.15,0.18023036854085514,0.485727167824004,0.7200906432748538,5.8,3.1,0.19300780686294383,1,19980.090260505676
0.15,0.01,0.15,0.18023036854085514,0.485727167824004,0.7200906432748538,5.8,3.1,0.19300780686294383,1,20460.32830476761
0.25,0.01,0.2,0.17982153779678314,0.485727167824004,0.7200906432748538,5.3,2.9,0.19096365314258407,1,18270.395398139954
0.3,0.01,0.2,0.17982153779678314,0.485727167824004,0.7200906432748538,5.3,2.9,0.19096365314258407,1,17946.723866462708
0.35,0.01,0.2,0.17982153779678314,0.485727167824004,0.7200906432748538,5.3,2.9,0.19096365314258407,1,18959.65474843979
0.4,0.01,0.2,0.17982153779678314,0.485727167824004,0.7200906432748538,5.3,2.9,0.19096365314258407,1,17429.11046743393
