mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold,theta_accept,theta_reject,gamma
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9977269338811082,1,1,1,279.5391082763672,0.3495216369628906,iris,2,0.15,0.01,0.2
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9961780853484691,1,1,1,271.0280418395996,0.35119056701660156,iris,3,0.15,0.01,0.2
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,0.8413882683090157,0.9971051500737994,1,1,1,254.1675567626953,0.35572052001953125,iris,4,0.15,0.01,0.2
metacog,1.0,1.0,1.0,1.0,1.0,,0.2850215115593363,0.9703851012969208,7,4,3,6666.793346405029,0.5855560302734375,wine,0,0.15,0.01,0.2
metacog,0.9444444444444444,0.9523809523809524,0.9440559440559441,0.9209401941068135,0.9810855810855811,,0.09676720274524803,0.992956148927088,9,5,5,7635.733604431152,1.0197162628173828,wine,1,0.15,0.01,0.2
metacog,0.6111111111111112,0.6,0.5185185185185185,0.5167423893288018,0.7494949494949495,,0.3774030947679678,0.9761711209664234,5,3,3,4508.626937866211,0.5109310150146484,wine,2,0.15,0.01,0.2
metacog,0.6666666666666666,0.6666666666666666,0.5666666666666667,0.5995445191824106,0.8387445887445887,,0.28708262043670824,0.9870125191045439,5,3,3,4544.778823852539,0.4985332489013672,wine,3,0.15,0.01,0.2
metacog,0.8888888888888888,0.9047619047619048,0.8885003885003885,0.8457943925233645,0.9235070485070486,,0.24828160209775718,0.9703026118717079,7,4,3,5998.750686645508,1.1153221130371094,wine,4,0.15,0.01,0.2
metacog,0.9473684210526315,0.9487012987012987,0.9449275362318841,0.8904905361044291,0.9512987012987013,0.9514896867838044,0.2128605955282232,0.9904241124341877,5,3,3,60225.2562046051,1.5404224395751953,breast_cancer,0,0.15,0.01,0.2
metacog,0.9649122807017544,0.9545454545454546,0.9623015873015872,0.9273353546322172,0.9318181818181818,0.9459459459459459,0.2972640601417964,0.9858737888548949,7,4,3,60372.72572517395,3.357410430908203,breast_cancer,1,0.15,0.01,0.2
