mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.2151251029357726,0.9543636747051614,1,1,1,359865.2639389038,4.116535186767578,MagicTelescope,42
classic,0.82,0.7494505494505495,0.7716894977168949,0.6065768774742287,0.7960439560439561,0.749553264604811,0.0,0.0,85,43,21,60116.16134643555,12.644767761230469,MagicTelescope,43
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0282725833704746,0.946071488496084,1,1,1,364622.2195625305,4.089117050170898,MagicTelescope,43
classic,0.77,0.6780219780219781,0.6891471820516286,0.4894192812780414,0.8474725274725274,0.7310165851134478,0.0,0.0,75,38,21,55868.31760406494,11.873006820678713,MagicTelescope,44
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0551514941814562,0.9027499280078324,1,1,1,251355.655670166,4.086494445800781,MagicTelescope,44
classic,0.76,0.676923076923077,0.6881496881496881,0.4493054359813343,0.7054945054945055,0.6068181673103317,0.0,0.0,79,40,21,50330.23118972778,12.866973876953123,MagicTelescope,45
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0962519865733015,0.8749632569959879,1,1,1,250606.4739227295,2.050161361694336,MagicTelescope,45
classic,0.74,0.7531194295900179,0.7291666666666667,0.4811617650373572,0.749331550802139,0.6178261423146334,0.0,0.0,71,36,21,50089.2972946167,10.828495025634766,MagicTelescope,46
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.2593960589017444,0.9441758276632132,1,1,1,251512.27021217343,3.6869049072265625,MagicTelescope,46
classic,0.71,0.6091800356506238,0.6080551425868361,0.2896873702805964,0.7185828877005347,0.52945530152817,0.0,0.0,77,39,21,49325.46186447144,6.047964096069336,MagicTelescope,47
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.2964615227909402,0.9449633546635834,1,1,1,250904.6671390533,2.087116241455078,MagicTelescope,47
classic,0.73,0.6528520499108734,0.6614420062695925,0.3555408418475304,0.7738413547237076,0.5910457516339869,0.0,0.0,83,42,21,47884.31811332703,5.976200103759766,MagicTelescope,48
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.0042260896277861,0.91510823491918,1,1,1,251862.79916763303,1.8620491027832031,MagicTelescope,48
classic,0.78,0.6907308377896613,0.7066666666666668,0.4929044102669807,0.8106060606060604,0.6996828876823413,0.0,0.0,91,46,21,44913.72632980347,12.64810562133789,MagicTelescope,49
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.3065086227754972,0.964063551481778,1,1,1,247903.4006595612,1.924753189086914,MagicTelescope,49
classic,0.795,0.7525409373235461,0.7319473047628386,0.4708641363515957,0.8414737436476567,0.4924009444988945,0.0,0.0,277,139,21,14111.45305633545,25.537729263305664,adult,0
metacog,0.8,0.5652173913043478,0.5579133510167993,0.3217778938936845,0.5652173913043478,0.3304347826086956,0.5541350673001662,1.0,3,2,2,167699.95951652527,9.881258010864258,adult,0
classic,0.77,0.7363071710897797,0.7082699137493658,0.4300419130036369,0.7783738001129306,0.4566276592552585,0.0,0.0,237,119,21,13434.4642162323,22.35579490661621,adult,1
metacog,0.805,0.5913325804630153,0.6010434248887525,0.3371846188159856,0.5913325804630153,0.3450790513833992,0.6867096625830987,0.99993115173406,5,3,3,260137.49384880063,10.885953903198242,adult,1
classic,0.795,0.6153303218520609,0.6324682891847071,0.3166479006827506,0.7885375494071146,0.4597584001634467,0.0,0.0,235,118,21,12767.31777191162,23.55837821960449,adult,2
metacog,0.8,0.5652173913043478,0.5579133510167993,0.3217778938936845,0.5652173913043478,0.3304347826086956,0.5177485492624431,1.0,3,2,2,164945.89471817017,10.341405868530272,adult,2
classic,0.77,0.5762281197063805,0.5826528760660498,0.2138618054347908,0.7551524562394127,0.4115283006690618,0.0,0.0,245,123,21,13088.924646377563,23.596763610839844,adult,3
metacog,0.805,0.5760869565217391,0.5758795062802458,0.3484590995891856,0.5760869565217391,0.3471739130434783,0.5289958634037956,0.998915671347438,3,2,2,168205.9714794159,9.940385818481444,adult,3
classic,0.805,0.7285431959345003,0.7268046653357151,0.4536729900227803,0.7643280632411067,0.4776936338407199,0.0,0.0,229,115,21,13037.655353546144,23.07271957397461,adult,4
